Name,Power,TC Level,Hero Power,Heroes Total Power,Pet Power,Mystic Trial
.N.S FRYENSIEOE EYACEN [TFR]Yensid08,0,0,0,0,33852960,0
.N.S. LFRYENSIEOS SEVACEN [TFR]Yensid08,0,0,0,85331736,0,0
0品[],0,0,0,29543193,0,0
?OO,0,0,4128061,0,0,0
ALLYDUCANBEAM [TNS]Allyoucanbeam,320462589,0,0,46325138,0,1869
ALLYOUCANBEAM [TNS]Allyoucanbeam,0,0,0,0,17575560,0
EVAJPC_bbzz,0,0,0,0,0,1508
EVA大明宫速至尊能斯全覆益WFI,0,0,10150264,0,0,0
EVA大明宫速至尊能服全覆WIiFi,357540532,0,0,0,18274680,0
FRYENSIEOB [TFR]Yensid08,0,0,18803568,0,0,0
FRYENSIEOE [TFR]Yensid08,0,0,18803568,0,33852960,0
GSAINT [TNS]Ssaintt,265358799,0,0,0,0,0
Hankerator,0,0,4359400,0,0,1310
L -[EVA]Minogue,0,0,0,0,0,1943
L [TFR]STOP63KOR°,0,0,0,51050090,0,0
L [TNS]6ena9 BOpOHa,217834533,0,0,0,0,0
L [TNS]BRONSON,0,0,7171984,44964964,0,0
L [TNS]Fritz,0,0,0,0,15938520,0
L6,0,0,0,29618298,0,0
L6 [TFR]Daiki,0,0,0,0,0,1251
L6 [TFR]Desillusionierer,0,0,0,29852536,0,0
L6 [TFR]Mietek,209537741,0,0,0,0,0
L6 [TNS]Kings'landing,207146222,0,0,0,0,0
L6 [TNS]Landoogst,0,0,0,0,14554560,0
LE [DEU]mandi101,0,0,5402670,37577109,0,0
LE [EVA]P4radox,264020645,0,0,0,0,0
LE [RAW]Catley,0,0,0,0,15452640,0
LE [TFR]CroissantMan,0,0,0,0,0,1536
LERYENSIDO8 [TFR]Yensid08,0,0,0,0,0,2767
LFRYENSIEOS N.S.EVARCEN [TFR]Yensid08,472324654,0,0,0,0,0
Mew,219207896,0,4758950,31243235,0,0
N.S.EVARCEN FRYENSEOE [TFR]Yensid08,472324654,0,0,0,0,0
N.S.SEVARCEN FRYENSEOS [TFR]Yensid08,0,0,0,85331736,0,0
NS]01,208999143,0,0,0,0,0
PrOgram3rr0r,0,0,0,30793529,0,0
TEVAJPC_bbzz,0,0,0,36280292,0,0
TFRINickM,0,0,0,91623668,0,0
TFRJMietek,0,0,0,29638187,0,0
TFR]Bart Simpson,228851171,0,0,0,0,0
TFR]Noble Minion,0,0,6132007,0,0,0
TTFRjthe accountant,227843580,0,0,0,0,0
[D8F]Mamie Tsunade,207526461,0,0,0,14888280,0
[D8F]The old dragon,0,0,3848857,0,0,0
[D8F]Werner,228748341,0,0,0,0,0
[DEU]Andy 83,0,0,0,0,0,1317
[DEU]Andy83,0,0,4430500,37558927,0,0
[DEU]Hades,0,0,0,0,14947680,0
[DEU]Kralice,207715721,0,0,29514635,15006720,0
[DEU]Laiiikmii,0,0,0,0,14819760,0
[DEU]Laiiikmili,0,0,0,0,0,1303
[DEU]Laiikmii,0,0,3896985,37770690,0,0
[DEU]Laiikmili,245315529,0,0,0,0,0
[DEU]Lucyndra,0,0,0,29939329,0,0
[DEU]Maddy,217290831,0,0,32209337,15149160,1396
[DEU]lord pumpernickl,0,0,3764589,40716731,16906560,1492
[DEU]lordpumpernickl,249029365,0,0,0,0,0
[DEU]mandi101,254786565,0,0,0,15640800,1483
[EVAI大明宫速至尊能服全覆益WIFi,357540532,0,0,0,0,0
[EVAJMARC00127,342333118,0,0,0,0,0
[EVA]Charlie,244801282,0,5879790,43042264,0,1620
[EVA]JeabdE-{]-小雞,0,0,3763510,0,0,0
[EVA]JeabdE-{]~小雞,0,0,0,0,0,1265
[EVA]JeabdE-{]小,247050399,0,0,0,0,0
[EVA]KUBIAC,0,0,3819717,0,0,1248
[EVA]KingOfTheERGUL,0,0,3787835,0,14479440,0
[EVA]Kraz,0,0,0,0,14588640,0
[EVA]Lanny,310285202,0,5081370,36948078,15390600,1587
[EVA]Lorness,211243112,0,4159954,0,0,0
[EVA]MARC,0,5,0,0,0,0
[EVA]MARC00127,342333118,0,0,63765723,19971240,2233
[EVA]Minogue,267610540,0,9566349,45794285,16522800,0
[EVA]Nightshadow,0,5,0,0,0,0
[EVA]Nightshadow2601,0,0,0,30470340,0,0
[EVA]P4radox,0,0,0,31587814,14925480,1345
[EVA]PC bbzz,272457615,0,0,0,0,0
[EVA]PC_bbzz,0,0,3830164,0,0,0
[EVA]Penguin,277533894,0,5566644,42282115,14836680,1588
[EVA]Pyramid,0,0,0,30108455,0,0
[EVA]S4k3r4,211869219,0,0,0,0,0
[EVA]StarryLoll's,0,0,0,0,0,1637
[EVA]StarryLolli's,301371093,0,0,0,15653640,0
