category,image,rank,name,value,raw_line
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,,[TFRJBRUMMBAR,473008161,"[TFRJBRUMMBAR 473,008,161"
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,,LFRYENSIEOS N.S.EVARCEN [TFR]Yensid08,472324654,"LFRYENSIEOS N.S.EVARCEN [TFR]Yensid08 472,324,654"
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,3,[TFRlpentode,420760032,"3 [TFRlpentode 420,760,032"
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,4,[TFR]NickM,418026435,"4 [TFR]NickM 418,026,435"
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,5,[TFR]ESTOP63KOR,369527836,"5 [TFR]ESTOP63KOR 369,527,836"
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,6,[TNS]Fritz,366116462,"6 [TNS]Fritz 366,116,462"
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,7,[EVAI大明宫速至尊能服全覆益WIFi,357540532,"7 [EVAI大明宫速至尊能服全覆益WIFi 357,540,532"
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,8,[TNS]Pikachu,356446924,"8 [TNS]Pikachu 356,446,924"
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,6,[EVA]MARC00127,342333118,"6 [EVA]MARC00127 342,333,118"
Personal Power,Images\Personal Power\photo_2026-05-04_15-24-57.jpg,49,[TFRJNOOX,240336796,"49 [TFRJNOOX 240,336,796"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,,[TFRJBRUMMBAR,473004741,"[TFRJBRUMMBAR 473,004,741"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,,N.S.EVARCEN FRYENSEOE [TFR]Yensid08,472324654,"N.S.EVARCEN FRYENSEOE [TFR]Yensid08 472,324,654"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,3,[TFR]pentode,420757508,"3 [TFR]pentode 420,757,508"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,4,[TFRINickM,418020507,"4 [TFRINickM 418,020,507"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,5,[TFR]ESTOPG3KOR,369527836,"5 [TFR]ESTOPG3KOR 369,527,836"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,6,[TNS]Fritz,366106592,"6 [TNS]Fritz 366,106,592"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,7,EVA大明宫速至尊能服全覆WIiFi,357540532,"7 EVA大明宫速至尊能服全覆WIiFi 357,540,532"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,8,[TNS]Pikachu,356427772,"8 [TNS]Pikachu 356,427,772"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,6,[EVAJMARC00127,342333118,"6 [EVAJMARC00127 342,333,118"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-40.jpg,49,[TFRJNOOX,240325140,"49 [TFRJNOOX 240,325,140"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,10,[TFR]Lord Minion,335508139,"10 [TFR]Lord Minion 335,508,139"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,11,[EVA]夜游干吊僧,325288042,"11 [EVA]夜游干吊僧 325,288,042"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,12,ALLYDUCANBEAM [TNS]Allyoucanbeam,320462589,"12 ALLYDUCANBEAM [TNS]Allyoucanbeam 320,462,589"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,13,[TFR]Chong,320285307,"13 [TFR]Chong 320,285,307"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,14,[EVA]Lanny,310285202,"14 [EVA]Lanny 310,285,202"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,15,[TFR]AdmiralKayne,301703243,"15 [TFR]AdmiralKayne 301,703,243"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,16,[EVA]StarryLolli's,301371093,"16 [EVA]StarryLolli's 301,371,093"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,17,[TNS]Daenerys,299894678,"17 [TNS]Daenerys 299,894,678"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,18,[TNS]BRONSON,298253507,"18 [TNS]BRONSON 298,253,507"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-42.jpg,49,[TFRJNOOX,240325140,"49 [TFRJNOOX 240,325,140"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-56.jpg,19,[EVA]耶稣也留不住他,288885816,"19 [EVA]耶稣也留不住他 288,885,816"
Personal Power,Images\Personal Power\photo_2026-05-04_15-45-56.jpg,20,[TFR]Marna,281210729,"20 [TFR]Marna 281,210,729"
